Número;Fecha de la reservación;Mes de reservación;País;Mes de reserva;Días de Anticipación;Fecha de entrada;Fecha de salida;Días;Vuelo;Carro;Lugar
82;7/2/2024;Febrero;Estados Unidos;Marzo;38;16/3/2024;23/3/2024;7;NK258;Rush;SJO
83;2/1/2024;Enero;Hungría;Marzo;74;16/3/2024;29/3/2024;13;-;Rav4;DORA
84;24/8/2023;Agosto;España;Marzo;205;16/3/2024;1/4/2024;16;IB6317;ASX;SJO
85;25/2/2024;Febrero;España;Marzo;21;17/3/2024;2/4/2024;16;-;Terios;SJO
86;10/12/2023;Diciembre;Suiza;Marzo;98;17/3/2024;30/3/2024;13;KL0727;Vitara;SJO
87;15/2/2024;Febrero;Brasil;Marzo;33;19/3/2024;29/3/2024;10;-;Chery;SJO
88;5/1/2024;Enero;Estados Unidos;Marzo;75;20/3/2024;29/3/2024;9;-;Terios;SJO
89;11/3/2024;Marzo;Israel;Marzo;9;20/3/2024;28/3/2024;8;-;Terios;SJO
90;25/2/2024;Febrero;Estados Unidos;Marzo;25;21/3/2024;31/3/2024;10;UA1876;Grand Vitara;LIR
91;17/3/2024;Marzo;Estados Unidos;Marzo;4;21/3/2024;25/3/2024;4;NK258;Vitara;SJO
92;18/2/2024;Febrero;Países Bajos;Marzo;36;25/3/2024;8/4/2024;14;UA1280;Terios;SJO
93;15/2/2024;Febrero;Israel;Marzo;39;25/3/2024;6/4/2024;12;-;Vitara;SJO
94;13/1/2024;Enero;Estados Unidos;Marzo;73;26/3/2024;2/4/2024;7;UA1055;ASX;SJO
95;2/3/2024;Marzo;Alemania;Marzo;25;27/3/2024;28/4/2024;32;-;Grand Vitara;SJO
96;7/3/2024;Marzo;España;Marzo;20;27/3/2024;8/4/2024;12;IB6317;Rush;SJO
97;13/3/2024;Marzo;Islandia;Marzo;17;30/3/2024;7/4/2024;8;-;Rav4;SJO
98;23/2/2024;Febrero;Brasil;Marzo;35;29/3/2024;17/4/2024;19;-;Montero ;SJO
99;27/3/2024;Marzo;Reino Unido;Marzo;3;30/3/2024;6/4/2024;7;-;Rav4;SJO
100;6/3/2024;Marzo;Israel;Marzo;24;30/3/2024;6/4/2024;7;-;Rav4;SJO
101;7/1/2024;Enero;Estados Unidos;Marzo;84;31/3/2024;6/4/2024;6;-;Terios;SJO
102;9/1/2024;Enero;España;Marzo;82;31/3/2024;12/4/2024;12;-;Vitara;SJO
103;1/4/2024;Abril;Israel;Abril;0;1/4/2024;15/6/2024;75;-;Jimny;SJO
104;20/3/2024;Marzo;Estados Unidos;Abril;13;2/4/2024;15/6/2024;74;-;ASX;SJO
105;17/3/2024;Marzo;República Checa;Abril;17;3/4/2024;23/4/2024;20;LX8036;ASX;SJO
106;19/2/2024;Febrero;Israel;Abril;46;5/4/2024;17/4/2024;12;-;Vitara;SJO
107;28/3/2024;Marzo;Israel;Abril;8;5/4/2024;15/4/2024;10;-;Vitara;SJO
108;7/3/2024;Marzo;Honduras;Abril;29;5/4/2024;7/4/2024;2;-;Montero ;SJO
109;23/12/2023;Diciembre;Suiza;Abril;108;9/4/2024;1/5/2024;22;WK36;Prado;SJO
110;3/12/2023;Diciembre;España;Abril;128;9/4/2024;20/4/2024;11;EVE857;Terios;SJO
